State,City,Counties Covered,Phone,Website
Alabama,Birmingham,Northern district of Alabama,205-326-6166,birmingham.fbi.gov
Alabama,Mobile,Middle Judicial District and Southern Judicial District,251-438-3674,mobile.fbi.gov
Alaska,Anchorage,All counties in Alaska,907-276-4441,anchorage.fbi.gov
Arizona,Phoenix,All counties in Arizona,623-466-1999,phoenix.fbi.gov
Arkansas,Little Rock,All counties in Arkansas,501-221-9100,littlerock.fbi.gov
California,Las Angeles,Central District of California,310-477-6565,losangeles.fbi.gov
California,Sacramento,Covers Sacramento area,916-746-7000,sacramento.fbi.gov
California,San Diego,"San Diego and Imperial counties in Southern
California",858-320-1800,sandiego.fbi.gov
California,San Francisco,San Francisco and surrounding area,415-553-7400,sanfrancisco.fbi.gov
Colorado,Denver,All counties in Colorado,303-629-7171,denver.fbi.gov
Connecticut,New Haven,All counties in Connecticut,203-777-6311,newhaven.fbi.gov
Delware,Balitmore (MD),All counties in Delaware,410-265-8080,baltimore.fbi.gov
District of Columbia,Washington DC,All coutnties in the District of Columbia,202-278-2000,washingtondc.fbi.gov
Florida,Jacksonville,40 counties throughout northern Florida,904-248-7000,jacksonville.fbi.gov
Florida,Miami,9 counties in Southern Florida,754-703-2000,miami.fbi.gov
Florida,Tampa,18 counties in central and southwest Florida,813-253-1000,tampa.fbi.gov
Georgia,Atlanta,All counties in Georgia,770-216-3000,atlanta.fbi.gov
Guam,Honolulu (HI),All counties in Guam,808-566-4300,honolulu.fbi.gov
Hawaii,Honolulu,All counties in Hawaii,808-566-4300,honolulu.fbi.gov
Idaho,Salt Lake City,All counties in Idaho,801-579-1400,saltlakecity.fbi.gov
Illinois,Chicago,18 counties in northen Illinois,312-421-6700,chicago.fbi.gov
Illinois,Springfield,Central and Southern Illinois,217-522-9675,springfield.fbi.gov
Indiana,Indianapolis,All counties in Indiana,317-595-4000,indianapolis.fbi.gov
Kansas,Kansas City (MO),All counties in Kansas,816-512-8200,kansascity.fbi.gov
Kentucky,Lousville,All counties in Kentucky,502-263-6000,louisville.fbi.gov
Louisiana,New Orleans,All counties in Louisiana,504-816-3000,neworleans.fbi.gov
Maine,Boston (MA),All counties in Maine,857-386-2000,boston.fbi.gov
Maryland,Baltimore,All counties in Maryland,410-265-8080,baltimore.fbi.gov
Massachusetts,Boston,All counties in Massachusetts,857-386-2000,boston.fbi.gov
Michigan,Detroit,"All counties in Michigan, including upper peninsula",313-965-2323,detroit.fbi.gov
Minnesota,Minneapolis,All counties in Minnesota,763-569-8000,minneapolis.fbi.gov
Mississippi,Jackson,All counties in Mississippi,601-948-5000,jackson.fbi.gov
Missouri,Kansas City,Western district of Missouri,816-512-8200,kansascity.fbi.gov
Missouri,St. Louis,St. Louis and surrounding area,314-589-2500,stlouis.fbi.gov
Montana,Salt Lake City,All counties in Montana,801-579-1400,saltlakecity.fbi.gov
Nebraska,Omaha,All counties in Nebraska,402-493-8688,omaha.fbi.gov
Nevada,Las Vegas,All counties in Nevada,702-385-1281,lasvegas.fbi.gov
New Hampshire,Boston (MA),All counties in New Hampshire,857-386-2000,boston.fbi.gov
New Jersey,Newark,All counties in New Jersey,973-792-3000,newark.fbi.gov
