Service,Category,Agency,Benefits,Contact:
Federal Bureau of Investigation,Analysis,FBI,"Report cybercrimes, including intrusions or attacks, fraud, intellectual property theft, identity theft, theft or trade secrets, criminal hacking, terrorist
activity, espionage, sabotage, or other foreign intelligence activity.","See Federal Bureau of Investigation tab for local field office 
information"
Malicious Code Analysis Platform (MCAP),Analysis,MS-ISAC,"MCAP is a web-based service which allows members to submit suspicious files, including executables, dlls, documents, quarantine files and archives 
for analysis in a controlled and non-public fashion. MCAP also enables users to perform threat analysis based on domain, IP address, URL, HASH, 
and various IOCs. MCAP users are able to obtain the results from analysis, behavioral characteristics and additional detailed information which allows 
users to remediate the incident in a timely manner. This communication with our members provides the MS-ISAC with the situational awareness 
needed to assess the malware threat characteristics facing our SLTT government entities on a national level.",https://learn.cisecurity.org/ms-isac-registration
Malware Analysis,Analysis,NCCIC,"The Advanced Malware Analysis Center provides 24/7 dynamic analysis of malicious code. Stakeholders submit samples via an online website 
and receive a technical document outlining analysis results. Experts detail recommendations for malware removal and recovery activities. This service 
can be performed in conjunction with incident response services if required.","www.malware.us-cert.gov

submit@malware.us-cert.gov "
Malware Analysis,Analysis,Fusion Center,Not all fusion centers offer this service. Check with them to gain the email address to forward malicious emails.,"See Fusion Centers tab for local center information. Recognized centers have limitied
services"
United States Immigration and Customs Enforcement,Analysis,ICE/HSI,"Repot cyber-enabled crime including digital theft of intellectual property; illicit e-commerce (including hidden marketplaces); Internet-faciliatated 
proliferation or arms and strategic technology; child pornography; and cyber-enabled smuggling and money laundering","Tip Line: 866-347-2423
See HSI tab for local field office information"
United States Secret Service,Analysis,US Secret Service,"Report cybercrimes, including computer intrusions or attacks, transmission of malicious code, password trafficking, or theft of payment card or other
financial payment information",https://www.secretservice.gov/contact/field-offices/
Cyber Infrastructure Survey,Assessment,CISA/DHS,"Evaluates the effectiveness of organizational security controls, cybersecurity preparedness, and the overall resilience of an organizaion's
cybersecurity ecosystem. Survey five domains: Cybersecurity Management, Cybersecurity Forces, Cybersecurity Controls, 
Cybersecurity Incident Response, Cybersecurity Dependencies",cyberadvisor@hq.dhs.gov 
Cyber Resilience Review,Assessment,CISA/DHS,"Measure an organization's capabilites among ten domains: Asset Management, Controls Management, Configuration and Change Management, 
Vulnerability Management, Incident Management, Service Continuity Management, Risk Management, External Depndency  Management, 
Training and Awareness, Situational Awarenesss","Self-Assement: https://www.us-cert.gov/ccubedvp/assessments 
Facilitated Assessment: cyberadvisor@hq.dhs.gov"
Cyber Security Evaluation Tool,Assessment,NCCIC,"The Cyber Security Evaluation Tool (CSET®) is a stand-alone desktop application that guides asset owners and operators through a systematic 
process of evaluating Operational Technology and Information Technology. After completing the evaluation, the organization will receive reports 
that present the assessment results in both a summarized and detailed manner. The organization will be able to manipulate and filter content in 
order to analyze findings with varying degrees of granularity.",ncciccustomerservice@hq.dhs.gov
External Dependencies Management Assessment,Assessment,CISA/DHS,Interview-based assessment to manage an organization's management of external dependencies; Supply chain and vendor review.,cyberadvisor@hq.dhs.gov 
Validated Architecture Design Review,Assessment,NCCIC,"The Validated Architecture Design Review (VADR) encompasses architecture and design review, system configuration, log file review, and analysis
of network traffic to develop a detailed representation of the communications, flows, and relationships between devices in order to identify 
anomalous communication flows. After the review, the organization will receive an in-depth report that includes key discoveries and practical
recommendations for improving operational maturity and cybersecurity posture.",ncciccustomerservice@hq.dhs.gov
